"id","country_id","name"
"hr_recruit_prov_35","Indonesia","Aceh"
"hr_recruit_prov_36","Indonesia","Sumatera Utara"
"hr_recruit_prov_37","Indonesia","Bengkulu"
"hr_recruit_prov_38","Indonesia","Jambi"
"hr_recruit_prov_39","Indonesia","Riau"
"hr_recruit_prov_40","Indonesia","Sumatera Barat"
"hr_recruit_prov_41","Indonesia","Sumatera Selatan"
"hr_recruit_prov_42","Indonesia","Lampung"
"hr_recruit_prov_43","Indonesia","Kepulauan Bangka Belitung"
"hr_recruit_prov_44","Indonesia","Kepulauan Riau"
"hr_recruit_prov_45","Indonesia","DKI Jakarta"
"hr_recruit_prov_46","Indonesia","Banten"
"hr_recruit_prov_47","Indonesia","Jawa Barat"
"hr_recruit_prov_48","Indonesia","Jawa Tengah"
"hr_recruit_prov_49","Indonesia","Jawa Timur"
"hr_recruit_prov_50","Indonesia","Daerah Istimewa Yogyakarta"
"hr_recruit_prov_51","Indonesia","Bali"
"hr_recruit_prov_52","Indonesia","Nusa Tenggara Barat"
"hr_recruit_prov_53","Indonesia","Nusa Tenggara Timur"
"hr_recruit_prov_54","Indonesia","Kalimantan Barat"
"hr_recruit_prov_55","Indonesia","Kalimantan Selatan"
"hr_recruit_prov_56","Indonesia","Kalimantan Tengah"
"hr_recruit_prov_57","Indonesia","Kalimantan Timur"
"hr_recruit_prov_58","Indonesia","Gorontalo"
"hr_recruit_prov_59","Indonesia","Sulawesi Selatan"
"hr_recruit_prov_60","Indonesia","Sulawesi Tenggara"
"hr_recruit_prov_61","Indonesia","Sulawesi Tengah"
"hr_recruit_prov_62","Indonesia","Sulawesi Utara"
"hr_recruit_prov_63","Indonesia","Sulawesi Barat"
"hr_recruit_prov_64","Indonesia","Maluku"
"hr_recruit_prov_65","Indonesia","Maluku Utara"
"hr_recruit_prov_66","Indonesia","Papua"
"hr_recruit_prov_67","Indonesia","Papua Barat"
