"id","name","country_id","code"
"state11","ACEH","Indonesia","P11"
"state12","SUMATERA UTARA","Indonesia","P12"
"state13","SUMATERA BARAT","Indonesia","P13"
"state14","RIAU","Indonesia","P14"
"state15","JAMBI","Indonesia","P15"
"state16","SUMATERA SELATAN","Indonesia","P16"
"state17","BENGKULU","Indonesia","P17"
"state18","LAMPUNG","Indonesia","P18"
"state19","KEPULAUAN BANGKA BELITUNG","Indonesia","P19"
"state21","KEPULAUAN RIAU","Indonesia","P21"
"state31","DKI JAKARTA","Indonesia","P31"
"state32","JAWA BARAT","Indonesia","P32"
"state33","JAWA TENGAH","Indonesia","P33"
"state34","DI YOGYAKARTA","Indonesia","P34"
"state35","JAWA TIMUR","Indonesia","P35"
"state36","BANTEN","Indonesia","P36"
"state51","BALI","Indonesia","P51"
"state52","NUSA TENGGARA BARAT","Indonesia","P52"
"state53","NUSA TENGGARA TIMUR","Indonesia","P53"
"state61","KALIMANTAN BARAT","Indonesia","P61"
"state62","KALIMANTAN TENGAH","Indonesia","P62"
"state63","KALIMANTAN SELATAN","Indonesia","P63"
"state64","KALIMANTAN TIMUR","Indonesia","P64"
"state65","KALIMANTAN UTARA","Indonesia","P65"
"state71","SULAWESI UTARA","Indonesia","P71"
"state72","SULAWESI TENGAH","Indonesia","P72"
"state73","SULAWESI SELATAN","Indonesia","P73"
"state74","SULAWESI TENGGARA","Indonesia","P74"
"state75","GORONTALO","Indonesia","P75"
"state76","SULAWESI BARAT","Indonesia","P76"
"state81","MALUKU","Indonesia","P81"
"state82","MALUKU UTARA","Indonesia","P82"
"state91","PAPUA BARAT","Indonesia","P91"
"state94","PAPUA","Indonesia","P94"
